,title,post_link,glance,offer,fee
35,"Discover Checking Account Cashback Match Bonus, $30 Per Month up to $210 Bonus Match",https://www.doctorofcredit.com/discover-checking-account-cashback-match-bonus-up-to-210-bonus-match/,Signup for a new Discover Cashback Debit checking account and get a cashback match/double on all cashback earned through 5/29/20. Use offer code CBMB1119,"Offer valid through December 9th, 2019",
36,Cambridge Savings Bank $400 Checking Bonus,https://www.doctorofcredit.com/ma-ct-me-nh-ri-vt-cambridge-savings-bank-400-checking-bonus/,"Maximum bonus amount: $400
Availability: Must reside in MA, CT, ME, NH, RI, VT
Direct deposit required: Yes, $1,000+ for three consecutive months
Additional requirements: See below
Hard/soft pull: Soft pull
ChexSystems:Yes, looks to be ChexSystems sensitive as well
Credit card funding:Can fund up to $1,000 with a Visa, Mastercard or Discover card (this is now a total limit, rather than per account)
Monthly fees: $10, avoidable
Early account termination fee: None
Household limit: One
Expiration date: March 31st, 2020","Cambridge Savings Bank is offering a bonus of $400 when you open a new performance or performance plus checking account and complete the following requirements within each of the first full three calendar months:
Receive monthly direct deposits totaling $1,000 or more
Complete five posted debit transactions (checks paid, debit card transactions and ACH debits)","Performance checking is the easiest account to keep fee free. This has a $10 monthly fee that is waived if you have an average checking balance of $1,000 or greaterI wasn’t able to find any mention of any early account termination fee in the fee schedule.Same requirements as the previous $300 bonus. This is basically just an extra $100. Definitely worth doing if you live in an eligible area, although it is frustrating that you need to complete the requirements for three consecutive months. I’ll be adding this to our list of the best checking bonuses here.Hat tip to readers Pete B & PeekUseful posts regarding bank bonuses:"
37,ENT Credit Union $500 Checking Bonus,https://www.doctorofcredit.com/co-only-ent-credit-union-500-checking-bonus/,"Maximum bonus amount: $500
Availability: Highlands Ranch, CO branch only
Direct deposit required: Yes, no minimum specified
Additional requirements: See below
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Can fund up to $500 with a credit card
Monthly fees: None
Early account termination fee: 90 days, $10 fee
Household limit:
Expiration date: March 31st, 2020","ENT Credit Union is offering a bonus of $500 when you open a new checking account at their lucent service center with promo code LUCENT. Bonus is broken down as follows:
Receive a $300 bonus when you deposit $100 activate your debit card and set up a direct deposit
Receive a $200 bonus when you deposit at least $10,000 within 90 days of becoming a member and then maintain the funds for 90 days.","The free checking account has no monthly fees to worry about.If the account is closed within 90 days a $10 early closure fee will be chargedSeems like a good deal, even if you only do the portion that doesn’t require the $10,000 to be deposited. Previously the best bonus was $200. We will add this to our list of the best highly regional specific  bank bonuses.Useful posts regarding bank bonuses:"
38,Bank of The Blue Grass $100 Checking Bonus,https://www.doctorofcredit.com/lexington-ky-bank-of-the-blue-grass-100-checking-bonus/,"Maximum bonus amount: $100
Availability: 361 Romany Road branch, Lexington, Ky
Direct deposit required: Yes, no minimum specified
Additional requirements: None
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: None
Early account termination fee: None
Household limit: None listed
Expiration date: None listed","Bank of The Blue Grass is offering a bonus of $100 when you open a new checking account and complete the following requirements:
Have a direct deposit made to this account within 60 days of account opening.","The kasasa checking accounts have no monthly fees to worry about.I wasn’t able to find an early account termination fee in the fee schedule.We need to know if it’s a hard or soft pull, but should be possible to ask that before opening. Shame it’s only available at that one branch.Useful posts regarding bank bonuses:"
39,California Credit Union $100 Checking Bonus,https://www.doctorofcredit.com/ca-only-california-credit-union-100-checking-bonus/,"Maximum bonus amount: $100
Availability: You must live or work in San Diego, Riverside or Orange County, CA
Direct deposit required: Yes, $500+ per month for at least three months
Additional requirements: Digital banking
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Up to $500
Monthly fees: None with eStatements
Early account termination fee: None
Household limit: None
Expiration date: None listed","California Credit Union is offering a bonus of $100 when you open a new eChecking account and complete the following requirements:
Must enroll in digital banking
Must establish a recurring direct deposit with a minimum of $500 per month (three required before bonus posts)",There is no monthly fee as long as you opt in for eStatementsI couldn’t find any mention of an early account termination fee in the fee schedule.Relatively small bonus but it’s a soft pull and you can fund with a credit card so I think it’s worth doing if you’ve already done the bigger bonuses available to you. I’ll add this to our list of the best checking account bonuses.Hat tip to reader SpicyPadThaiUseful posts regarding bank bonuses:
40,Chartway Federal Credit Union $100 Checking Bonus ,https://www.doctorofcredit.com/chartway-federal-credit-union-100-checking-bonus-no-direct-deposit-required/,"Maximum bonus amount: $100
Availability:  Branches are in FL, NC, TX, UT, VA, but account can be opened nationwide
Direct deposit required: No
Additional requirements: Make 10 debit card purchases
Hard/soft pull: Soft
ChexSystems:Unknown, sensitive
Credit card funding: Up to $1,500
Monthly fees: None
Early account termination fee: Unknown
Household limit: None
Expiration date: February 29th, 2020","Chartway Federal Credit Union is offering a bonus of $100 when you open a new LifePlus or Cash Back Checking account checking account and complete the following requirements:
Use promo code FRESHCHECK20
Make 10 purchases with your debit card ($10 minimum per transaction)","Cash back checking account has no monthly fee to worry about.I wasn’t able to find an up to date fee schedule, so I’m not sure if an EATF is charged. In the past the fine print has stated the account needs to be kept open for 180 days, you might as well do that as the account has no monthly fee anyway.Chartway just offered a $150 bonus, same requirements. That was obviously better offer than this. I guess this is still worth doing because we don’t know when a similar offer will return, but I won’t add it to the best checking bonus page due to the fact that they so recently offered a bigger bonus. Also keep in mind they are extremely ChexSystems sensitive.Hat tip to reader SAUseful posts regarding bank bonuses:"
41,"Chase Sapphire Banking $1,000 Upgrade & New Account Offer",https://www.doctorofcredit.com/chase-sapphire-banking-1000-upgrade-new-account-offer/,"Maximum bonus amount: $1,000
Availability: Public
Direct deposit required: None
Additional requirements: Deposit $75,000 and maintain that for 90 days
Hard/soft pull: Soft
ChexSystems: No
Credit card funding: Cannot fund with debit or credit in branch.
Monthly fees: $25, avoidable
Early account termination fee: Bonus taken back if closed within six months
Household limit:  None listed
Expiration date: November 19th, 2019","Chase is offering existing deposit account holders $1,000 when they upgrade to a Chase Sapphire Banking account and complete the following requirements:
Within 45 calendar days transfer a total of $75,000 or more qualifying new money or securities to a combination of eligible checking, savings and/or investment accounts, and maintain that balance for at least 90 days (irrespective of any losses or gains due to trading or market fluctuation)","Sapphire Banking has a monthly fee of $25. To avoid this you need to keep $75,000 in the accountsNormally Chase claws back the bonus if the account is closed within six months. Isn’t clear if that’s the case here or not.$75 Applies when any securities are transferred out of the accountPreviously this was a $750 bonus, so this is an extra $250. If you did the other bonus I doubt you can match to this one, but might as well try. They have offered a bonus of 60,000 Chase UR points in the past as well, will be interesting to see if they increase that bonus.Keep in mind getting this bonus can only be done once per 12 month period, you can do a Chase checking/savings bonus every 24 months and they are on different clocks (e.g doing this bonus doesn’t make you ineligible for the Chase checking/savings bonus). I will be adding this to our list of the best bank account bonuses."
42,ConnexUs Credit Union $250 Checking Bonus ,https://www.doctorofcredit.com/connexus-credit-union-250-checking-bonus-direct-deposit-not-required/,"Maximum bonus amount: $250
Availability: Anybody can join by joining the Connexus Association and paying a $5 one time donation. If you live in select counties in MN, NH, OH, WI then you can join for free
Direct deposit required: No
Additional requirements: See below
Hard/soft pull: All recent datapoints say soft pull
ChexSystems: Unknown
Credit card funding: None
Monthly fees: None
Early account termination fee: None
Household limit: None
Expiration date: February 17th, 2020","Connexus Credit Union is offering a bonus of $250 when you open a new Xtraordinary checking account and complete the following requirements:
Use promo code FREECHECKING
Enroll in eStatements
Have a minimum of $2,000 in net spend purchases using your debit card within six months of account opening","This account has no monthly fees to worry aboutI wasn’t able to find an early account termination fee in the fee scheduleUpdate: Now that all reports are a soft pull this is definitely worth doing and will be extremely popular.Shame about the hard pull, otherwise this would be a must do. That being said I think more and more people are caring less about hard pulls with how restrictive credit card bonuses are becoming, so this might still be an attractive option for some people. The other downside is the $2,000 in debit card spend required, if you put that on a 2% card you’d earn $40 tax free. I’ll still add this to the best checking bonuses.Hat tip to reader John C"
43,Union Bank & Trust $150 Checking Bonus,https://www.doctorofcredit.com/va-md-nc-union-bank-trust-150-checking-bonus/,"Maximum bonus amount: $150
Availability:NE, KS
Direct deposit required: Yes, $2,500+
Additional requirements: None
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding:  Unknown
Monthly fees: None
Early account termination fee: $25, 180 days
Household limit: None listed
Expiration date: October 31st, 2019 February 29th, 2020","Union Bank & Trust is offering a bonus of $150 when you open a new Bonus Checking or Journey Checking and complete the following requirements:
Make $2,500 in direct deposits within 60 days",Bonus checking has no monthly fees to worry about.According to the fee schedule you’ll be charged an early account termination fee of $25 if the account is closed within 180 days of opening.Relatively easy bonus to meet the requirements for and no monthly fees to worry about. Considering it’s a soft pull I think this is worth doing if you live in an eligible area and have already done the larger bonuses available to you. Because of that I will be adding this to our list of the best checking bonuses.Hat tip to reader Alex GUseful posts regarding bank bonuses:
44,Gesa Credit Union $300 Checking Bonus ,https://www.doctorofcredit.com/wa-only-gesa-credit-union-300-checking-bonus-no-direct-deposit-requirement/,"Maximum bonus amount: $300
Availability:If you live, work, worship or attend school in the State of Washington, are a close relative of someone who qualifies as a member, or are a resident within Benewah, Bonner, Boundary, Clearwater, Idaho, Kootenai, Latah, Lewis, Nez Perce and Shoshone Counties in Idaho, you are eligible to join Gesa.
Direct deposit required: No, only ACH required of $250+
Additional requirements: See below
Hard/soft pull: Soft 
ChexSystems: Unknown
Credit card funding: Can fund with a credit card, up to $5,000
Monthly fees: None
Early account termination fee: $20, 180 days
Household limit: None
Expiration date: None listed","Gesa Credit Union is offering a bonus of $300 when you open a new Colossal checking account and complete the following requirements within 60 days of account opening:
Enroll in Xpress Digital Banking.
Sign-up for and receive eStatements.
Complete 18 Gesa Visa® debit card transactions. (ATM transactions excluded.)
Receive one ACH deposit of $250 or more.
Deposit one item using Remote Deposit Capture.","This account has no monthly fees to worry aboutA $20 fee is charged if the account is closed within 180 days according to this fee schedule.Previous best bonus was $100, so this is considerably better than that. I definitely think this bonus is worth doing, there are a few requirements but none of them are particularly hard to meet. I’d recommend applying for this account ASAP, as I can see it being extremely popular and being pulled quickly. I’ll be adding it to our best bank account bonus page.Hat tip to Christian WUseful posts regarding bank bonuses:"
45,WesBanco $250 Checking Promotion,https://www.doctorofcredit.com/wv-pa-oh-in-ky-in-branch-only-wesbanco-250-checking-promotion/,"Maximum bonus amount: $250
Availability: WV, PA, OH, IN, KY Only. Must open in branch Can open online[Branch locator]
Direct deposit required: Two direct deposits totaling $2,500+
Additional requirements: See below
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Unsure
Monthly fees: $4, waivable
Early account termination fee: Unknown
Household limit: None listed
Expiration date: September 1st, 2019 February 9th, 2020","WesBanco is offering a bonus of $250, bonus is broken down as follows:
$150 when you receive at least two direct deposits totaling $2,500
$100 for enrolling in mobile banking, activating a new debit card and making 20 debit card purchases","Their basic checking account has a $4 monthly service charge, this is waived if you receive eStatements or maintain a monthly balance of $500.I couldn’t find their fee schedule, so I’m unsure if they charge an early account termination fee or not.Previously best bonus was $200. This is a slightly bigger bonus with slightly bigger direct deposit requirements. Doubt we see a bigger bonus from them in the near future, so if interested I’d sign up now. Because of that I will be adding this to our list of the best checking account bonuses.Hat tip to reader KyleUseful posts regarding bank bonuses:"
46,U.S. Bank $200 Checking & $200 Savings Bonus ,https://www.doctorofcredit.com/u-s-bank-200-checking-200-savings-bonus/,"Maximum bonus amount: $400
Availability: Nationwide.  Must live in U.S. Bank’s footprint
Direct deposit required: Yes, two deposits totaling $2,000 or more
Additional requirements: Use promo code and online/mobile banking
Hard/soft pull: Soft
ChexSystems: Mixed data points
Credit card funding: Can fund up to $50 with a credit card
Monthly fees: $6.95, avoidable
Early account termination fee: None
Household limit: One
Expiration date: January 10th, 2020","U.S. Bank is offering a bonus of up to $400 when you open a new checking & savings accounts when you use promo code FREND19. Bonuses are as follows:
$200 checking bonus:
Open a new Platinum, Gold or Easy checking account
Complete two or more recurring direct deposits that total a minimum of $2,000
Enroll in either U.S. Bank online banking or the U.S. Bank Mobile App within 60 days of account opening
$200 savings bonus:
Open a new Platinum Select Money Market Savings or Elite Money Market account
Have total deposit(s) of $10,000 or more by January 10, 2020 and maintain a balance of $10,000 or more through March 10, 2020","his account has a $6.95 monthly fee and is waived if you meet any of the following requiremnets:This account has a $14.95 monthly fee but is waived if you have a U.S. Bank credit card. Many of us have a U.S. Bank personal credit card like Altitude, Flexperks, or Cash+ which would work to keep the account fee-free. Another option is to get the Gold account and get the fee waived if you have a good credit score and join the Because You’ve Earned It program. There is no early account termination fee to worry aboutYou can frequently do the checking bonus but it’s normally $300 (although we recently saw $400 in branch), so the savings bonus is really only $100.  Basically need $10,000 invested for ~60 days to trigger the savings bonus, that works out to be roughly 6% APY for that 60 day period. Worth doing and I guess slightly better than the standard bonus. If you’re not going to do the savings portion of the offer I’d recommend just waiting for the $300 bonus to return. I will add this to our best checking & savings bonus.Hat tip to jojool"
47,Bank & Trust $350/$400 Checking Bonus,https://www.doctorofcredit.com/il-ia-wi-bank-trust-200-checking-bonus/,"Maximum bonus amount: $200
Availability: Select areas in CO, MN, WI, MT, CA, AZ, TX, NM & IA
Direct deposit required: Yes, $500+
Additional requirements: eStatements
Hard/soft pull: Soft
ChexSystems: Unknown
Credit card funding: Up to $2,000. No American Express
Monthly fees: None
Early account termination fee: $25 + bonus forfeit, 90 days
Household limit: None listed
Expiration date: December 31st, 2017 April 30th, 2018 August 31st, 2018 December 31st, 2018 April 30th, 2019 June 28th, 2019 October 31st, 2019","Bank & Trust is offering a bonus of up to $200 when you open a new checking account and complete the following requirements:
$30 bonus for signing up for eStatements within 90 days of account opening
$170 bonus for receiving a direct deposit of $500 or more within the first 60 calendar days
Bank & Trust is offering a bonus of up to $350 when you open a new checking account and complete the following requirements:
$30 bonus for signing up for eStatements within 90 days of account opening
$70 bonus for receiving a direct deposit of $500 or more within the first 60 calendar days
$250 bonus for having a balance of at least $7,500 within 60 days of account opening
Bank & Trust is offering a bonus of up to $700 when you open a new  Consumer Checking Account relationship
$30 bonus for signing up for eStatements within 90 days of account opening
$170 bonus for receiving a direct deposit of $500 or more within the first 60 calendar days
$300 bonus for having total balance of at least $50,000 at 15 calendar days after account opening
An additional $200 bonus for having a total balance of at least $50,000 at 60 calendar days after account opening","They offer a free checking account with no monthly fees to worry about. If the account is closed within 90 days of account opening they will deduct the bonus and a $25 early account termination fee is charged.They offered a $500 bonus in 2016, obviously that bonus was much better but $200 still isn’t bad and I’m not sure we will see that bigger $500 bonus again. The positive is that you can open the account online this time rather than having to go in branch (maybe credit card funding is possible now as well?) You should also be able to do this deal even if you’ve done the previous deal as long as you didn’t have an account open on or before October 31st, 2017. That actually looks incorrect as pointed out in the comments. I’ll be adding this to the best bank account bonuses.Big thanks to reader, Rodney M who let us know. Learn how to find bonuses and contribute to the site here.Useful posts regarding bank bonuses:"
48,SunTrust $200 Checking Promotion ,https://www.doctorofcredit.com/suntrust-200-checking-promotion-al-ar-fl-ga-md-ms-nc-sc-tn-wv-va-and-d-c-only/,"Maximum bonus amount: $200
Availability: AL, AR, FL, GA, MD, MS, NC, SC, TN, WV, VA, and D.C Only
Direct deposit required: Yes, $500 for two consecutive cycles
Additional requirements: Use promo code
Hard/soft pull: Soft
ChexSystems: Mixed DP
Credit card funding: Up to $250 (lots of reports of it coding as a cash advance)
Monthly fees: $7, avoidable
Early account termination fee: 180 days or bonus is forfeit
Household limit: None
Expiration date: March 31st, 2020","SunTrust Bank is offering a bonus of $200 when you open a new essential checking account and complete the following requirements:
Use promo code Q120ESSENTIAL
Complete at least $500 in direct deposits per statement cycle for two consecutive cycles","Essential checking account has a $7 monthly fee, this is waived if you do any of the following:You need to keep your account open for at least 180 days otherwise your bonus will be forfeitWe’ve previously seen a bonus of $300, but that required the advantage checking account which is harder to keep fee free. This might be a better option for some people as no need to worry about tying up $10,000+ for 180 days or doing a direct deposit of $3,000+ once a month. Because of that I will add this to the best checking bonus page.Useful posts regarding bank bonuses:"
49,Republic Bank $200 Checking Bonus,https://www.doctorofcredit.com/fl-in-ky-oh-tn-republic-bank-200-checking-bonus/,"Maximum bonus amount: $200
Availability: FL, IN, KY, OH & TN only
Direct deposit required: Yes, $100+
Additional requirements:
Hard/soft pull: Hard
ChexSystems: Unknown
Credit card funding: Up to $500 online, not sure if possible in branch
Monthly fees: None
Early account termination fee: Unknown
Household limit: None listed
Expiration date: December 31st, 2018 December 31st, 2019 12/31/2020","Republic Bank is offering a bonus of $200 when you open a new checking account with the promo code LX1/LX2. Bonus is broken down as follows:
$100 for receiving a direct deposit of at least $100 before the end of the third full statement cycle
$100 for completing at least 50 point of sale debit card transactions","The easy checking account has no monthly fees to worry about. I wasn’t able to find a fee schedule so I’m unsure if there is any early account termination fee or not.Unfortunately the hard pull on this account kills the deal. Previously the best bonus they have offered is a $100 bonus offered to both parties. Either way we won’t be adding this to the best checking bonuses due to that hard pull.Big thanks to reader, Matt & Kelly C who let us know. Learn how to find bonuses and contribute to the site here.Useful posts regarding bank bonuses:"
50,Columbia Bank $250 Checking Account Bonus,https://www.doctorofcredit.com/nj-columbia-bank-200-chehking-account-bonus/,"Maximum bonus amount: $300
Availability:  Must live or work in the State of New Jersey
Direct deposit required: Yes, $1,000
Additional requirements: 10 debit card purchases
Hard/soft pull: Soft pull
ChexSystems: Unknown
Credit card funding: Up to $1,000
Monthly fees: $9, avoidable
Early account termination fee: Account must be opened at time of bonus posting
Household limit: None listed
Expiration date: None","Open a new Columbia bank Advantage Plus Account and receive a bonus of $300 when you complete the following requirements:
$200 for receiving a qualifying direct deposit of at least $1,000 within 60 days of account opening
$100 for making three bill payments within 60 days of account opening $50 for 10 debit card purchases within 60 days of account opening",Maintain a $500 minimum balance or transact 10 POS debit card transactions (not including ATM withdrawals) to avoid a monthly service fee. This fee is waived if you’re under 22 or under.Account must be open at the time of bonus postingBest bonus they have offered in the past has been $500 so  this isn’t as good as that. Might still be worth doing for those that missed out on that bigger deal. Because of those factors this is going in our best checking promotions list.Useful posts regarding bank bonuses:
51,Huntington Bank $200 Checking Promotion ,https://www.doctorofcredit.com/oh-mi-pa-ky-wv-huntington-bank-200-checking-promotion-no-direct-deposit-requirement/,"Maximum bonus amount: $200
Availability: Illinois, Indiana, Kentucky, Michigan, Ohio, Pennsylvania, West Virginia, Wisconsin
Direct deposit required: Not required
Additional requirements: Must be a U.S. Citizen
Hard/soft pull: Soft
Credit card funding: None
Monthly fees: $5, waivable
Early account termination fee: None
Household limit: None
U.S. Citizenship Required: Yes
Expiration date: March 31st, 2016  June 30, 2016 September 30th, 2016 January 31st, 2017 April 30th, 2017 July 31st, 2017 October 31st, 2017 January 7th, 2018 March 31st, 2018 June 30th, 2018 September 30th, 2018 December 31st, 2018 June 30th, 2019 October 7th, 2019 January 7th, 2020","Open a Huntington 5 Checking account and receive a $200 sign up bonus when you make total deposits of at least $1,000
Open a Huntington 25 checking account and receive a $500 sign up bonus when you make at least $15,000 in total deposits within 60 days","This account has a $5 monthly fee which is waived if you have a relationship balance of $5,000+ per month.This account has a $25 monthly fee. This is waived if you have a relationship balance of $25,000+ per month.They used to charge an early account termination fee but that is no longer charged. Account does need to be kept open for 90 days and then within 14 days of that the bonus will postIt’s sometimes possible to receive $350 targeted bonuses with no direct deposit requirement (and sometimes these are also sold on eBay) but this is the best public bonus they offer. We don’t usually see the $500 bonus and it looks like you just need make $15,000 in total deposits rather than having $15,000 deposited at one time. Keep in mind the $25 monthly fee, but it might make sense to go for the $500 bonus and just pay a few months of $25 in fees. If I lived within the target area I’d definitely go for this bonus as no direct deposit is required. It’s kind of a hassle to keep the account fee free even on the $200 bonus, but you could just suck up the $5/$25 monthly fee or close the account (after bonus posts, minimum of 90 days) if you didn’t want to park $5,000/$25,000 (you’d be better off putting that money into a high interest account in my opinion).We’ve added this bonus to our list of the best bank bonuses. You can view people’s experience with this bonus last time it was available here."
52,Campus USA Credit Union $300 Checking Bonus,https://www.doctorofcredit.com/fl-only-campus-usa-credit-union-300-checking-bonus/,"Maximum bonus amount: $300
Availability: Membership is open to anyone in Alachua, Clay, Columbia, Gadsden, Jefferson, Lake, Leon, Madison, Marion, Sumter, Suwannee and Wakulla counties
Direct deposit required: Yes, 200+
Additional requirements: eStatements
Hard/soft pull: Hard
Credit card funding: Unknown 
Monthly fees: None
Early account termination fee: $15 if closed within one year
Expiration date: None listed","Open a free checking account with Camp USA and receive a $300 sign up bonus when you complete the following:
Use promo code C300
Within 90 days elect to receive eDocuments
Within 90 days establish a direct deposit of at least $200 per month",
53,Andigo Credit Union $500 Checking Bonus + $50,https://www.doctorofcredit.com/il-only-andigo-credit-union-500-checking-bonus/,"Maximum bonus amount: $500
Availability: IL only
Direct deposit required: $500+ for three months
Additional requirements: See below
Hard/soft pull: Soft pull
ChexSystems: Yes, sensitive
Credit card funding: Can fund up to $3,000 with a credit card (Visa, Mastercard & Discover all accepted)
Monthly fees: None
Early account termination fee: None
Household limit: None listed
Expiration date: September 30th, 2019 December 31st, 2019 March 31st, 2020","Andigo Bank is offering a bonus of up to $500 when you open a new checking account. Must use promo code GET500. Bonus is broken down as follows:
Get $250 when you open a new checking account and set up a direct deposit (must receive direct deposits of $500+ for three consecutive months)
Get $250 when you complete at least $500 in Andigo Visa debit card purchases within the first 90 days after opening account","Their checking account has no monthly fees to worry about.According to the fee schedule there is no early account termination fee.Fantastic bonus, previous best was for a total of $400 and that required a CD as well. This is an extra $100, although it does have a debit card spend requirement. Still think it’s definitely worth doing if you’re eligible (sadly you’re not if you’ve had an account within the past 12 months). This will be added to our list of the best checking account bonuses.Hat tip to readers nathan P & JeffUseful posts regarding bank bonuses:"
54,Fifth Third $250 Checking Bonus ,https://www.doctorofcredit.com/fifth-third-200-checking-bonus-fl-ga-il-ky-mi-nc-oh-tn-wv/,"Maximum bonus amount: $250
Availability: Only in the following states: FL, GA, IL, IN, KY, MI, NC, OH, TN, WV (may be only for those within a 50-mile radius of a branch).
Direct deposit required: None
Additional requirements: Maintain $500 balance for 60 days
Hard/soft pull: Soft
ChexSystems: Yes
Credit card funding: None
Monthly fees:
Early account termination fee: None listed
Household limit: None
Expiration date: September 30th, 2017 December 31st, 2017. March 31st, 2018 June 30th, 2018 September 30th, 2018 December 31st, 2018 March 31st, 2019 April 30th, 2019 June 30th, 2019 October 31st, 2019Note these offers are known to expire earlier than the expiration date so do not leave it to the last minute.","Fifth Third is offering a $250 bonus when you open a new Fifth Third Essential checking account when you complete the following requirements:
Make deposits totaling $500 or more within 45 days of account opening
Maintain an average balance of $500 for 60 days","Essential Checking account is required for this bonus and has an $11 monthly fee. The fee can be waived by maintaining an average monthly balance of $1,500 or more across your savings and checking accounts.This account does not have an early account termination feePersonally given that there was recently a $300 bonus with the same requirements, it’s worth waiting to see if they will come back with a similar offer in my opinion. Because of that I won’t be adding it to our best bank account bonuses available. $250 is more competitive than the $200 they recently offered, but I’d probably still hold off for the $300 offer to return.Big thanks to reader, Andrew D, Corridor & DDG  who let us know. Learn how to find bonuses and contribute to the site here.Useful posts regarding bank bonuses:"
55,Exchange Bank $100 Checking Bonus,https://www.doctorofcredit.com/ne-ks-in-branch-exchange-bank-100-checking-bonus/,"Maximum bonus amount:
Availability: Looks like you need to open in branch, locations are in Omaha, Lincoln (Nebrasaka) or Salina (Kansas)
Direct deposit required: Yes, no minimum mentioned
Additional requirements: None
Hard/soft pull: Unknown
ChexSystems: Unknown
Credit card funding: Unknown
Monthly fees: Unknown
Early account termination fee: Unknown
Household limit: None listed
Expiration date: None listed","Exchange Bank is offering a bonus of $100 when you open a new Platinum checking account and complete the following requirements:
Receive a direct deposit (no minimum mentioned)","Can’t tell if this account has a monthly fee and the regular website doesn’t mention the platinum checking accountWasn’t able to find a fee schedule so unsure if an early account termination fee is charged or notWe don’t really know enough about this bank/the bonus to pass judgement, the upside is that the account needs to be opened in branch anyway so you should be able to find out the answer to relevant questions (e.g hard/soft pull and if there is a monthly fee) before you open the account. If anybody goes for this bonus then please share your experiences in the comments below.Useful posts regarding bank bonuses:"
56,HomeTrust Bank $202 Checking Bonus,https://www.doctorofcredit.com/nc-sc-tn-va-hometrust-bank-202-checking-bonus/,"Maximum bonus amount: $202 + $5 per month
Availability: NC, SC, TN, VA
Direct deposit required: Yes, two direct deposits of $250+ each
Additional requirements:  See below
Hard/soft pull:  Soft pull
ChexSystems: Yes, not sensitive
Credit card funding: None
Monthly fees: $10, avoidable
Early account termination fee: Bonus forfeit, 180 days
Household limit: Two
Expiration date: February 15th, 2020","HomeTrust Bank is offering a bonus of $202, to receive this bonus you need to complete the following requirements:
Use promo code GET150
Receive two qualified direct deposits of at least $250 each
Debit card must be ordered
You can also get $5 per month every month you complete at least 10 debit card transactions","This account has a $10 monthly fee, this is waived if you do either of the following:If account is closed within 180 days of account opening the bonus has to be repaidPreviously the bonus was $150 but you could open a free checking account, this is an extra $52 plus you can get the additional $5 bonus per month. Bit annoying to have to do the 5 debit card transactions/direct deposit to keep the account fee free but at least you can do 10 debit card transactions and also trigger the additional $5 monthly bonus. I do think this is worth doing, so it will be added to the best checking bonuses – just do the better bonuses first.Useful posts regarding bank bonuses:"
57,Santander $225 Checking Bonus ,https://www.doctorofcredit.com/santander-225-checking-bonus-nationwide/,"Maximum bonus amount: $225
Availability: Must be a resident of: NH, MA, RI, CT, DE, NY, NJ & PA
Direct deposit required: Yes, one or more totaling $500 $1,000 (see what counts here)
Additional requirements: Account must be open for a minimum of 90 days
Hard/soft pull: Soft, see below
Credit card funding: Up to $500
Monthly fees: $10 – $35, waiveable
Early account termination fee: $25 if closed within 90 days of opening
Expiration date: June 30, 2017 September 30th, 2018 December 31st, 2018 March 31st, 2019 December 31st, 2019","Receive a $225 bonus by opening an eligible new checking account with the promo code BONUS225J2M and doing the following:
Receive direct deposits totaling at least $500 $1,000 within the first 90 days, AND
Keep your account open for at least 90 days.
Tip: On the funding page the option to uncheck the $3 paper statement fee is grayed out and you have to remember to change it to Paperless option after getting online access to avoid $3 paper statement fee. Hat tip to MarcoPolo.","There is a non-waiveable $3 monthly service fee.There is a $10 monthly fee that is waived when you make any financial transaction that posts during a calendar month*. Includes deposits, withdrawals, transfers or payments. Excludes fees, rebates or adjustments posted by Santander.*based on the footnote “per service fee period”, you should interpret this to refer to a transaction posting during each statement cycle (as you would expect) — if your statement cycle does not match up with the calendar month.Not that I think anyone here is considering this account, but there is a $35 monthly fee that is waived by maintaining $75,000 in combined balances in deposits and investments held with Santander Investment Services, OR 6,000 in total monthly direct deposits.Considering that $150 seems to be their new standard offer, and that offer easily made our best bank bonus page, this is fantastic. Do note that it has a very limited lifespan (59 days) and that the overdraft protection agreement is quite confusing. You are forced to agree to it when applying online, but you’ll want to select “Some overdrafts” instead of “All overdrafts” to avoid the hard pull. I’ve already taken the plunge, and I think this offer is worth your while. If you set up an online banking login during the application process, you can check the status of your application by logging in at this link."
